kabupaten,tipe,bulan,tahun,bulan_ke,titik_panas
Bengkayang,Kabupaten,2012-01,2012,1,3
Bengkayang,Kabupaten,2012-02,2012,2,5
Bengkayang,Kabupaten,2012-03,2012,3,28
Bengkayang,Kabupaten,2012-04,2012,4,33
Bengkayang,Kabupaten,2012-05,2012,5,110
Bengkayang,Kabupaten,2012-06,2012,6,290
Bengkayang,Kabupaten,2012-07,2012,7,55
Bengkayang,Kabupaten,2012-08,2012,8,704
Bengkayang,Kabupaten,2012-09,2012,9,478
Bengkayang,Kabupaten,2012-10,2012,10,113
Bengkayang,Kabupaten,2012-11,2012,11,6
Bengkayang,Kabupaten,2012-12,2012,12,0
Bengkayang,Kabupaten,2013-01,2013,1,17
Bengkayang,Kabupaten,2013-02,2013,2,2
Bengkayang,Kabupaten,2013-03,2013,3,214
Bengkayang,Kabupaten,2013-04,2013,4,43
Bengkayang,Kabupaten,2013-05,2013,5,11
Bengkayang,Kabupaten,2013-06,2013,6,183
Bengkayang,Kabupaten,2013-07,2013,7,120
Bengkayang,Kabupaten,2013-08,2013,8,834
Bengkayang,Kabupaten,2013-09,2013,9,122
Bengkayang,Kabupaten,2013-10,2013,10,47
Bengkayang,Kabupaten,2013-11,2013,11,2
Bengkayang,Kabupaten,2013-12,2013,12,2
Bengkayang,Kabupaten,2014-01,2014,1,144
Bengkayang,Kabupaten,2014-02,2014,2,792
Bengkayang,Kabupaten,2014-03,2014,3,643
Bengkayang,Kabupaten,2014-04,2014,4,48
Bengkayang,Kabupaten,2014-05,2014,5,8
Bengkayang,Kabupaten,2014-06,2014,6,105
Bengkayang,Kabupaten,2014-07,2014,7,841
Bengkayang,Kabupaten,2014-08,2014,8,199
Bengkayang,Kabupaten,2014-09,2014,9,374
Bengkayang,Kabupaten,2014-10,2014,10,15
Bengkayang,Kabupaten,2014-11,2014,11,1
Bengkayang,Kabupaten,2014-12,2014,12,3
Bengkayang,Kabupaten,2015-01,2015,1,0
Bengkayang,Kabupaten,2015-02,2015,2,2
Bengkayang,Kabupaten,2015-03,2015,3,47
Bengkayang,Kabupaten,2015-04,2015,4,16
Bengkayang,Kabupaten,2015-05,2015,5,23
Bengkayang,Kabupaten,2015-06,2015,6,33
Bengkayang,Kabupaten,2015-07,2015,7,137
Bengkayang,Kabupaten,2015-08,2015,8,494
Bengkayang,Kabupaten,2015-09,2015,9,75
Bengkayang,Kabupaten,2015-10,2015,10,7
Bengkayang,Kabupaten,2015-11,2015,11,3
Bengkayang,Kabupaten,2015-12,2015,12,6
Bengkayang,Kabupaten,2016-01,2016,1,4
Bengkayang,Kabupaten,2016-02,2016,2,1
Bengkayang,Kabupaten,2016-03,2016,3,1
Bengkayang,Kabupaten,2016-04,2016,4,3
Bengkayang,Kabupaten,2016-05,2016,5,1
Bengkayang,Kabupaten,2016-06,2016,6,11
Bengkayang,Kabupaten,2016-07,2016,7,38
Bengkayang,Kabupaten,2016-08,2016,8,722
Bengkayang,Kabupaten,2016-09,2016,9,40
Bengkayang,Kabupaten,2016-10,2016,10,11
Bengkayang,Kabupaten,2016-11,2016,11,0
Bengkayang,Kabupaten,2016-12,2016,12,6
Bengkayang,Kabupaten,2017-01,2017,1,10
Bengkayang,Kabupaten,2017-02,2017,2,0
Bengkayang,Kabupaten,2017-03,2017,3,2
Bengkayang,Kabupaten,2017-04,2017,4,3
Bengkayang,Kabupaten,2017-05,2017,5,2
Bengkayang,Kabupaten,2017-06,2017,6,13
Bengkayang,Kabupaten,2017-07,2017,7,84
Bengkayang,Kabupaten,2017-08,2017,8,170
Bengkayang,Kabupaten,2017-09,2017,9,187
Bengkayang,Kabupaten,2017-10,2017,10,17
Bengkayang,Kabupaten,2017-11,2017,11,2
Bengkayang,Kabupaten,2017-12,2017,12,3
Bengkayang,Kabupaten,2018-01,2018,1,3
Bengkayang,Kabupaten,2018-02,2018,2,73
Bengkayang,Kabupaten,2018-03,2018,3,8
Bengkayang,Kabupaten,2018-04,2018,4,14
Bengkayang,Kabupaten,2018-05,2018,5,5
Bengkayang,Kabupaten,2018-06,2018,6,14
Bengkayang,Kabupaten,2018-07,2018,7,183
Bengkayang,Kabupaten,2018-08,2018,8,952
Bengkayang,Kabupaten,2018-09,2018,9,89
Bengkayang,Kabupaten,2018-10,2018,10,1
Bengkayang,Kabupaten,2018-11,2018,11,0
Bengkayang,Kabupaten,2018-12,2018,12,1
Bengkayang,Kabupaten,2019-01,2019,1,8
Bengkayang,Kabupaten,2019-02,2019,2,1
Bengkayang,Kabupaten,2019-03,2019,3,98
Bengkayang,Kabupaten,2019-04,2019,4,43
Bengkayang,Kabupaten,2019-05,2019,5,20
Bengkayang,Kabupaten,2019-06,2019,6,11
Bengkayang,Kabupaten,2019-07,2019,7,80
Bengkayang,Kabupaten,2019-08,2019,8,350
Bengkayang,Kabupaten,2019-09,2019,9,239
Bengkayang,Kabupaten,2019-10,2019,10,0
Bengkayang,Kabupaten,2019-11,2019,11,4
Bengkayang,Kabupaten,2019-12,2019,12,0
Bengkayang,Kabupaten,2020-01,2020,1,2
Bengkayang,Kabupaten,2020-02,2020,2,7
Bengkayang,Kabupaten,2020-03,2020,3,13
Bengkayang,Kabupaten,2020-04,2020,4,13
Bengkayang,Kabupaten,2020-05,2020,5,3
Bengkayang,Kabupaten,2020-06,2020,6,4
Bengkayang,Kabupaten,2020-07,2020,7,24
Bengkayang,Kabupaten,2020-08,2020,8,733
Bengkayang,Kabupaten,2020-09,2020,9,81
Bengkayang,Kabupaten,2020-10,2020,10,26
Bengkayang,Kabupaten,2020-11,2020,11,0
Bengkayang,Kabupaten,2020-12,2020,12,1
Bengkayang,Kabupaten,2021-01,2021,1,2
Bengkayang,Kabupaten,2021-02,2021,2,16
Bengkayang,Kabupaten,2021-03,2021,3,2
Bengkayang,Kabupaten,2021-04,2021,4,11
Bengkayang,Kabupaten,2021-05,2021,5,4
Bengkayang,Kabupaten,2021-06,2021,6,3
Bengkayang,Kabupaten,2021-07,2021,7,83
Bengkayang,Kabupaten,2021-08,2021,8,135
Bengkayang,Kabupaten,2021-09,2021,9,205
Bengkayang,Kabupaten,2021-10,2021,10,19
Bengkayang,Kabupaten,2021-11,2021,11,2
Bengkayang,Kabupaten,2021-12,2021,12,2
Bengkayang,Kabupaten,2022-01,2022,1,4
